"Spec","mitochondrion Acc","Len","coi Acc","Len","coii Acc","Len","coiii Acc","Len"
"Drosophila mediostriata",NA,NA,"KX052967.1","658","EU493747.1","1408","EU493878.1","703"
"Drosophila meitanensis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila melanica","HQ849828.1","15253","MT806997.1","658","EU390749.1","657","EU493871.1","2545"
"Drosophila melanica melanica",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila melanica paramelanica",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila melanocephala",NA,NA,"MK277144.1","1469","AY006441.1","688",NA,NA
"Drosophila melanogaster","OR555819.1","19116","OK380942.1","574","EU493757.1","1369","EU493887.1","2491"
"Drosophila melanopalpa",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila melanosoma",NA,NA,NA,NA,"AY343536.1","688",NA,NA
"Drosophila melanospila",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila melanura I",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila melanura II",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila mercatorum","NC_044669.1","16024","KX275228.1","531","KX275248.1","549",NA,NA
"Drosophila mercatorum pararepleta",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila meridiana",NA,NA,NA,NA,"DQ202029.1","716",NA,NA
"Drosophila meridiana meridiana",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila meridiana rioensis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila meridionalis",NA,NA,"KY021654.1","642","DQ202030.1","709",NA,NA
"Drosophila mesophragmatica",NA,NA,NA,NA,"AY847769.1","682",NA,NA
"Drosophila mettleri",NA,NA,"EU659105.1","591","JF736097.1","695",NA,NA
"Drosophila metzii",NA,NA,NA,NA,"AY162992.1","685",NA,NA
"Drosophila micromelanica",NA,NA,"EU390723.1","645","EU390751.1","657","EU493872.1","2119"
"Drosophila micromelanica II",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila micromelanica IV",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila micromyia",NA,NA,"MK277049.1","1469","EU493792.1","1396","EU493920.1","2108"
"Drosophila mimetica",NA,NA,"AY098454.1","407","AF461273.1","384",NA,NA
"Drosophila mimica",NA,NA,NA,NA,"EU493793.1","1413","U94233.1","228"
"Drosophila mimica-like",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila miranda","MK659828.1","16058","AF451104.1","829","MK659828.1","16058",NA,NA
"Drosophila mitchelli",NA,NA,"HQ170781.1","785","HQ170673.1","750",NA,NA
"Drosophila modified mouthparts",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila modified proboscis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila mojavensis","BK006339.1","14904","EU493608.1","2011","EU493738.1","1460","EU493868.1","2429"
"Drosophila mojavensis baja","MK659827.1","16144",NA,NA,"DQ436088.1","721",NA,NA
"Drosophila moju",NA,NA,"KX275220.1","531","KX275240.1","549",NA,NA
"Drosophila mojuoides",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila montana","MK659829.1","15984","MH423339.1","658","MK659829.1","15984","EU493880.1","1606"
"Drosophila montgomeryi",NA,NA,"MK277082.1","1469",NA,NA,NA,NA
"Drosophila montium",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila montium I",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila montium II",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila montium III",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila moriwakii",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila mulleri",NA,NA,"DQ437708.1","408","DQ437711.1","688","DQ437714.1","419"
"Drosophila munda",NA,NA,"MF880164.1","564","AF519330.1","688","AF519362.1","416"
"Drosophila murphyi",NA,NA,"MK277062.1","1469",NA,NA,NA,NA
"Drosophila musaphila",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila mutandis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila mycetophila",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila mysorensis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila n. sp. Clavisetae-lik",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila n. sp. Immigrans-like",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila n. sp. Near hirtitarsus",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila n. sp. Near larifuga complex",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila n.sp. Near caccabata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila n.sp. Near semifuscata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila n.sp. Semifuscata-like",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila nagarholensis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila nannoptera",NA,NA,NA,NA,"EU493729.1","1447","EU493859.1","1702"
"Drosophila narragansett",NA,NA,NA,NA,"M95149.1","688",NA,NA
"Drosophila nasalis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila nasuta","MK659831.1","15847","MK863411.1","390","MK659831.1","15847","EU493849.1","1591"
"Drosophila nasuta albomicans",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila nasuta nasuta",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila nasutoides",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila nebulosa","NC_071243.1","15961","NC_071243.1","15961","NC_071243.1","15961","NC_071243.1","15961"
"Drosophila neocardini",NA,NA,"HM006876.1","798","AY847770.1","683",NA,NA
"Drosophila neocordata","NC_071244.1","16010","NC_071244.1","16010","NC_071244.1","16010","NC_071244.1","16010"
"Drosophila neoelliptica",NA,NA,NA,NA,"MZ857176.1","688",NA,NA
"Drosophila neogrimshawi",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila neoguaramunu",NA,NA,"OM613023.1","579",NA,NA,NA,NA
"Drosophila neohydei",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila neohypocausta",NA,NA,NA,NA,"EU493720.1","1415","EU493850.1","2448"
"Drosophila neomorpha",NA,NA,"HM006877.1","798","HM006891.1","649",NA,NA
"Drosophila neonasuta","MK659833.1","15786","AY633552.1","538","MK659833.1","15786",NA,NA
"Drosophila neoperkinsi",NA,NA,"MK277145.1","1469","AY006436.1","688",NA,NA
"Drosophila neopicta",NA,NA,"MK277190.1","1469","AY006439.1","688",NA,NA
"Drosophila neorepleta",NA,NA,NA,NA,"DQ202033.1","704",NA,NA
"Drosophila neosaltans",NA,NA,NA,NA,"MZ857177.1","688",NA,NA
"Drosophila nepalensis",NA,NA,"KP730954.1","476","GQ244456.1","699",NA,NA
"Drosophila nesoetes",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila nigra",NA,NA,"EU493667.1","1619",NA,NA,"EU493924.1","1570"
"Drosophila nigribasis",NA,NA,"MK277192.1","1488","AY006432.1","688",NA,NA
"Drosophila nigricruria",NA,NA,"JF736067.1","367","JF736101.1","725",NA,NA
"Drosophila nigrifacies",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila nigrilineata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila nigrodunni",NA,NA,"HM006883.1","798","AY173201.1","324",NA,NA
"Drosophila nigrohydei",NA,NA,NA,NA,"AF145890.1","688",NA,NA
"Drosophila nigromaculata",NA,NA,NA,NA,"AF519332.1","688","AF519364.1","401"
"Drosophila nigromelanica",NA,NA,NA,NA,"EU390753.1","657","GU597517.1","445"
"Drosophila nigromelanica II",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila nigrosaltans",NA,NA,NA,NA,"MZ857169.1","688",NA,NA
"Drosophila nigrosparsa","MK659834.1","15895",NA,NA,"MK659834.1","15895",NA,NA
"Drosophila nigrospiracula",NA,NA,"JF872373.1","658","DQ202034.1","694",NA,NA
"Drosophila nikananu",NA,NA,"KX771129.1","658","AF461289.1","384",NA,NA
"Drosophila nitidithorax",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila niveifrons",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila nixifrons",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila novamaculosa",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila novamexicana",NA,NA,"MH423340.1","658","AY646745.1","387","FJ536203.1","617"
"Drosophila novemeristata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila novopaca",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila oahuensis",NA,NA,NA,NA,"AY006431.1","688",NA,NA
"Drosophila obatai",NA,NA,"MK277165.1","1469",NA,NA,NA,NA
"Drosophila obscura",NA,NA,"MZ628593.1","658","AF081356.1","688",NA,NA
"Drosophila obscuripes",NA,NA,NA,NA,"AY006443.1","688",NA,NA
"Drosophila obscuroides",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila occidentalis",NA,NA,"AF519397.1","374","AF519333.1","686","AF519365.1","416"
"Drosophila ocellata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila ochracea",NA,NA,"MK277081.1","1469","EU493797.1","1414","EU493925.1","2721"
"Drosophila ochrobasis",NA,NA,"MK277170.1","1469",NA,NA,NA,NA
"Drosophila odontophallus",NA,NA,"MK277187.1","1469",NA,NA,NA,NA
"Drosophila olaae",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila onca",NA,NA,NA,NA,"KX275241.1","549",NA,NA
"Drosophila orbospiracula",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila orena",NA,NA,"AY757281.1","1539",NA,NA,NA,NA
"Drosophila orkui",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila ornata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila ornatipennis",NA,NA,"EU493573.1","2038","EU493704.1","688","EU493834.1","1712"
"Drosophila orosa",NA,NA,"AB669758.1","1536","AF461303.1","384",NA,NA
"Drosophila orphnopeza",NA,NA,"MK277139.1","1469",NA,NA,NA,NA
"Drosophila orthofascia",NA,NA,"MK277188.1","1469",NA,NA,NA,NA
"Drosophila pachea",NA,NA,"DQ202075.1","370","DQ202035.1","662","AF183975.1","416"
"Drosophila pachuca",NA,NA,"DQ202078.1","372","DQ202038.1","719",NA,NA
"Drosophila paenehamifera",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila pagliolii",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila pallidifrons",NA,NA,"AB932744.1","699","AB932789.1","666",NA,NA
"Drosophila pallidipennis",NA,NA,"EU493600.1","1682","AY162982.1","711","EU493860.1","2195"
"Drosophila pallidipennis centralis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila pallidosa",NA,NA,"FJ795561.1","532","AF461280.1","384",NA,NA
"Drosophila palustris",NA,NA,"MF882421.1","567","AF147122.1","688","AF147132.1","416"
"Drosophila parabipectinata",NA,NA,"AY757282.1","1539","AY757282.1","1539",NA,NA
"Drosophila parabocainensis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila paracanalinea",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila parachrogaster",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila paraguttata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila paralutea",NA,NA,"LC057193.1","1451","AY757290.1","802",NA,NA
"Drosophila paramediostriata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila paramelanica",NA,NA,"MF873760.1","585","EU390755.1","657","EU493873.1","2123"
"Drosophila paramelanica I",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila paramelanica II",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila paranaensis",NA,NA,"JF736088.1","367",NA,NA,NA,NA
"Drosophila pararepleta",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila pararubida",NA,NA,"EU493591.1","1300","EU493721.1","1420","EU493851.1","2496"
"Drosophila parasaltans",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila paratriangulata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila parthenogenetica",NA,NA,"HM006878.1","792","HM006887.1","675",NA,NA
"Drosophila parva",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila parvula",NA,NA,NA,NA,"AF461304.1","384",NA,NA
"Drosophila pattersoni",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila paucicilia",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila paucipuncta",NA,NA,"MK277071.1","1469",NA,NA,NA,NA
"Drosophila paulistorum","NC_071239.1","15984","NC_071239.1","15984","NC_071239.1","15984","NC_071239.1","15984"
"Drosophila pavani",NA,NA,NA,NA,"EU390756.1","657",NA,NA
"Drosophila pavlovskiana",NA,NA,NA,NA,"AF474101.1","688",NA,NA
"Drosophila pectinitarsus",NA,NA,NA,NA,"EU493798.1","764",NA,NA
"Drosophila pegasa",NA,NA,NA,NA,"JF736132.1","701",NA,NA
"Drosophila pellewae",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila pengi",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila peniculipedis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila peninsularis",NA,NA,"GU597456.1","439",NA,NA,"GU597519.1","445"
"Drosophila pennae",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila percnosoma",NA,NA,"EU493670.1","1625","EU493799.1","1457","EU493927.1","2106"
"Drosophila perkinsi",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila persimilis",NA,NA,"AF451101.1","829","MK659837.1","15094",NA,NA
"Drosophila phaeopleura",NA,NA,NA,NA,"AY757291.1","783",NA,NA
"Drosophila phalerata","OX596009.1","16141","MZ609265.1","658","AF147115.1","688","AF147125.1","416"
"Drosophila picta",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila picticornis",NA,NA,NA,NA,"AY006430.1","688",NA,NA
"Drosophila pictilis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila pictiventris",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila pictura",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila pilimana",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila pinicola","M93992.1","905",NA,NA,"GU597500.1","663","GU597531.1","445"
"Drosophila planitibia","MK659838.1","15753","MK277147.1","1469","MK659838.1","15753",NA,NA
"Drosophila polliciforma",NA,NA,"HQ170788.1","782","HQ170680.1","750",NA,NA
"Drosophila polychaeta",NA,NA,"EU493603.1","2014","EU493733.1","1376","EU493863.1","1592"
"Drosophila polymorpha",NA,NA,NA,NA,"HM006892.1","636",NA,NA
"Drosophila ponera",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila primaeva",NA,NA,"MK277118.1","1502","AY006445.1","688",NA,NA
"Drosophila procardinoides",NA,NA,"HM006880.1","798","HM006888.1","619",NA,NA
"Drosophila prolaticilia",NA,NA,NA,NA,"HQ170734.1","688",NA,NA
"Drosophila prolongata",NA,NA,NA,NA,"HQ631609.1","360",NA,NA
"Drosophila promeridiana",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila propachuca",NA,NA,NA,NA,"DQ202041.1","706",NA,NA
"Drosophila prosaltans",NA,NA,"NC_071245.1","15970","NC_071245.1","15970","NC_071245.1","15970"
"Drosophila prosaltans I",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila prosaltansII",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila prosimilis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila prostipennis",NA,NA,"LC057192.1","1451","AF461269.1","384",NA,NA
"Drosophila prostopalpis",NA,NA,"MK277048.1","1469",NA,NA,NA,NA
"Drosophila pseudoananassae",NA,NA,"AY757280.1","1539","AY757280.1","1539",NA,NA
"Drosophila pseudoananassae nigrens",NA,NA,"AJ844809.1","476",NA,NA,NA,NA
"Drosophila pseudoananassae pseudoananassae",NA,NA,"AJ844807.1","476",NA,NA,NA,NA
"Drosophila pseudomayri",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila pseudoobscura","NC_046603.1","16118","EU493633.1","1997","EU493762.1","1435","AF519380.1","416"
"Drosophila pseudoobscura bogotana",NA,NA,"AF451087.1","829",NA,NA,NA,NA
"Drosophila pseudosaltans",NA,NA,NA,NA,"MZ857171.1","688",NA,NA
"Drosophila pseudosordidula",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila pseudotakahashii",NA,NA,"LC057191.1","1451","AY757283.1","1176",NA,NA
"Drosophila pseudotetrachaeta",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila psilophallus",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila psiolotarsalis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila pulaua",NA,NA,NA,NA,"EU493722.1","1418","EU493852.1","1590"
"Drosophila pulchrella",NA,NA,NA,NA,"AF474093.1","685",NA,NA
"Drosophila pulla",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila pullata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila pullipes",NA,NA,"MK277067.1","1469","EU493800.1","1406","EU493928.1","633"
"Drosophila punalua",NA,NA,"MK276997.1","1469",NA,NA,NA,NA
"Drosophila punjabiensis",NA,NA,"KP730965.1","868","AF461286.1","384",NA,NA
"Drosophila putrida",NA,NA,"MF877949.1","558","EU493744.1","712","AF183996.1","416"
"Drosophila pychnochaetae",NA,NA,"HQ170795.1","783","HQ170687.1","752",NA,NA
"Drosophila quadraria",NA,NA,"AB669703.1","1536","AF461295.1","384",NA,NA
"Drosophila quadrilineata",NA,NA,NA,NA,"GQ352273.1","688",NA,NA
"Drosophila quadrisetae",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila quasianomalipes",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila quinaria",NA,NA,"MG473938.1","516","EU493735.1","1416","AF147134.1","416"
"Drosophila racemova",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila ramsdeni",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila rectangularis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila recticilia",NA,NA,"MK277023.1","1469",NA,NA,NA,NA
"Drosophila reducta",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila repleta",NA,NA,"MN448017.1","567","GQ376044.1","737",NA,NA
"Drosophila repletoides",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila reynoldsiae",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila rhopaloa","MK659839.1","15117",NA,NA,NA,NA,NA,NA
"Drosophila rioensis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila ritae",NA,NA,"DQ202082.1","372","DQ202042.1","693",NA,NA
"Drosophila robusta","HQ849826.1","15224","OP028687.1","658","EU390758.1","657","EU493874.1","2158"
"Drosophila roehrae","KT272858.1","15023",NA,NA,NA,NA,NA,NA
"Drosophila ruberrima",NA,NA,"AB932751.1","699","AB932796.1","666",NA,NA
"Drosophila rubida",NA,NA,NA,NA,"EU493723.1","1417","EU493853.1","2164"
"Drosophila rubifrons",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila rubra",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila rufa","MK742881.1","16018","MN692815.1","658","AF461305.1","384",NA,NA
"Drosophila rufifrons",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila s. bilimbata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila saltans",NA,NA,NA,NA,"MZ857172.1","688","GU597513.1","445"
"Drosophila sechellia","AF200832.1","14950","KJ426007.1","560","MK659840.1","16689",NA,NA
"Drosophila seguyi","NC_060506.1","16019","KY835513.1","658","AF461287.1","384",NA,NA
"Drosophila sejuncta",NA,NA,"MK276993.1","659",NA,NA,NA,NA
"Drosophila sellata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila septentriosaltans","NC_071246.1","15868",NA,NA,"NC_071246.1","15868",NA,NA
"Drosophila serenensis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila serido",NA,NA,NA,NA,"KX275245.1","549","AF146185.1","419"
"Drosophila serrata","MK659841.1","16288","AB669749.1","1536","MK659841.1","16288",NA,NA
"Drosophila setosifrons",NA,NA,NA,NA,"AY006442.1","688",NA,NA
"Drosophila setosimentum",NA,NA,"MK277171.1","1469",NA,NA,NA,NA
"Drosophila setula",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila sigmoides",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila silvarentis",NA,NA,"MK277070.1","1469",NA,NA,NA,NA
"Drosophila silvestris",NA,NA,"MK277107.1","1469","MK659842.1","15632","U94237.1","228"
"Drosophila silvistriata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila similis",NA,NA,"AB932753.1","699","AB932798.1","666",NA,NA
"Drosophila similis grenadensis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila simulans","AY518674.1","14946","OK380938.1","619","MN046104.1","18956","MN046104.1","18956"
"Drosophila sobrina",NA,NA,"MK277166.1","1469",NA,NA,NA,NA
"Drosophila sodomae",NA,NA,"MK277135.1","1469",NA,NA,NA,NA
"Drosophila sordidula",NA,NA,"EU390728.1","645","EU390759.1","657","EU493841.1","2167"
"Drosophila spaniothrix",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila spectabilis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila spencensis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila spenceri",NA,NA,NA,NA,"DQ202047.1","719",NA,NA
"Drosophila spinatermina",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila spinofemora",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila sproati",NA,NA,"MK277047.1","1469","JX455050.1","570",NA,NA
"Drosophila stalkeri",NA,NA,"DQ202088.1","372","DQ202048.1","692","AF146186.1","419"
"Drosophila starmeri",NA,NA,"AF146153.1","408","AF146165.1","688","AF146177.1","419"
"Drosophila sternopleuralis",NA,NA,"AB932754.1","699","AB932799.1","666",NA,NA
"Drosophila sticta",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila stonei",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila sturtevanti",NA,NA,"MG010104.1","819","MZ857174.1","688",NA,NA
"Drosophila subarctica",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila subbadia",NA,NA,NA,NA,"AY847772.1","634",NA,NA
"Drosophila subfunebris",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila submacroptera",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila subobscura","OY757502.1","15791","OK380908.1","629","MK659843.1","15793","AF519377.1","416"
"Drosophila suboccidentalis",NA,NA,"AF519403.1","413","AF519339.1","688","AF519371.1","416"
"Drosophila subpalustris",NA,NA,"AF147111.1","413","AF147121.1","688","AF147131.1","416"
"Drosophila subquinaria",NA,NA,"MG472609.1","516","MK016672.1","684","MK017058.1","416"
"Drosophila subsaltans",NA,NA,"AF045101.1","305","AF045085.1","688",NA,NA
"Drosophila subsilvestris","U07310.1","607","AF050747.1","555","EF216260.1","688",NA,NA
"Drosophila substenoptera",NA,NA,"MK277193.1","1488","AY006440.1","688",NA,NA
"Drosophila subtilis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila sucinea",NA,NA,"MG010103.1","765","EU532094.1","606","EU493900.1","2503"
"Drosophila suffusca",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila sulfurigaster",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila sulfurigaster albostrigata",NA,NA,"EU493595.1","2008","EU493725.1","1419","EU493855.1","1583"
"Drosophila sulfurigaster bilimbata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila suzukii",NA,NA,"MF878778.1","552","KU588141.1","16447",NA,NA
"Drosophila takahashii","MK659844.1","14961","MW122902.1","658","MK659844.1","14961",NA,NA
"Drosophila takahashii I",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila talamancana",NA,NA,NA,NA,"EF468106.1","577",NA,NA
"Drosophila tani",NA,NA,NA,NA,"AB669770.1","645",NA,NA
"Drosophila tanytrix",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila tarphytrichia",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila teisseri",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila tendomentum",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila tenebrosa",NA,NA,NA,NA,"JF735931.1","699",NA,NA
"Drosophila tenuicauda",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila testacea",NA,NA,"OK065364.1","658","AF183989.1","684","AF183993.1","416"
"Drosophila tetrachaeta",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila texana",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila thoracis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila tira",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila tolteca",NA,NA,NA,NA,"M95152.1","688",NA,NA
"Drosophila tongpua",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila touchardiae",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila tranquilla",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila transversa",NA,NA,NA,NA,"AF519342.1","688","AF519374.1","416"
"Drosophila trapeza",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila trapezifrons",NA,NA,"KP731003.1","408","AB825960.1","645",NA,NA
"Drosophila triangula",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila triauraria","MK659846.1","16715","MN692852.1","658","MK659846.1","16715",NA,NA
"Drosophila trifiloides",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila trilutea","AB027261.1","407","LC057190.1","1451","HQ631604.1","360",NA,NA
"Drosophila tripunctata",NA,NA,"MF882507.1","585","EU493748.1","688","AF519375.1","416"
"Drosophila trispina",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila tristis",NA,NA,"JF735913.1","685","EF216262.1","688",NA,NA
"Drosophila tristriata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila trivittata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila tropicalis",NA,NA,"NC_071247.1","15966","NC_071247.1","15966","NC_071247.1","15966"
"Drosophila tropicalis cubana",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila truncata",NA,NA,NA,NA,"AB669820.1","645",NA,NA
"Drosophila truncipenna",NA,NA,"MK277142.1","1469",NA,NA,NA,NA
"Drosophila tsacasi","MK742883.1","14996","AB669717.1","1536","AF461298.1","384",NA,NA
"Drosophila tsigana",NA,NA,"DQ471593.1","1500",NA,NA,NA,NA
"Drosophila tumiditarsus",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila turbata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila unipunctata",NA,NA,"EU493620.1","1293","EU493749.1","1406","EU493879.1","327"
"Drosophila uniseriata",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila uniseta",NA,NA,"JF736074.1","367","JF736111.1","749",NA,NA
"Drosophila unispina",NA,NA,NA,NA,"AF519344.1","688","AF519376.1","416"
"Drosophila varians",NA,NA,"FJ795579.1","453","AF461276.1","384",NA,NA
"Drosophila varipennis",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila vesciseta",NA,NA,"MK277083.1","1469",NA,NA,NA,NA
"Drosophila vibrissina",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila victoria",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila villitibia",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila villosipedis",NA,NA,"MK276994.1","1469","HQ170747.1","623",NA,NA
"Drosophila viracochi",NA,NA,NA,NA,"AY847773.1","682",NA,NA
"Drosophila virgulata",NA,NA,NA,NA,NA,NA,NA,NA
